"","Progressive.passes.per.90","Deep.completed.crosses.acc...","Deep.completed.crosses.per.90","Deep.completed.passes.acc...","Deep.completed.passes.per.90","Thru.passes.acc...","Thru.passes.per.90","Passes.to.penalty.area.acc...","Passes.to.penalty.area.per.90","Final.3rd.passes.acc...","Final.3rd.passes.per.90","Key.passes.per.90","Smt.passes.acc...","Smt.passes.per.90","Third.assists.per.90","Second.assists.per.90","Avg.lng.pass.length..m","Avg.pass.length..m","Lng.passes.acc...","Lng.passes.per.90","Lat.passes.acc...","Lat.passes.per.90","Back.passes.acc...","Back.passes.per.90","Fwd.passes.acc...","Fwd.passes.per.90","Passes.acc...","Passes.per.90","Red.cards.per.90","Red.cards","Yellow.cards.per.90","Yellow.cards","Fouls.per.90","Interceptions.per.opp.30","Interceptions.per.90","Shots.blocked.per.90","Tackles.per.opp.30","Tackle.succ...","Tackles.per.90","Aerial.duels.won..","Aerial.duels.per.90","Def.duels.won..","Def.duels.per.90","Succ..def..per.90","Progressive.runs.per.90","Touches.in.box.per.90","Dribbles.succ...","Dribbles.per.90","Crosses...","Crosses.per.90","xA.per.90","xA","Assists.per.90","Assists","Goal.conv....","Shots.on.target..","Shots.per.90","Shots.total","Head.goals.per.90","Head.goals.total","xG.per.90","Non.penalty.goals.per.90","Non.penalty.goals","Goals.per.90","Goals.total.1","Succ..att..actions","xG","total_passes_closeness","total_passes_betw","total_passes_pagerank","total_passes_transitivity","forward_passes_closeness","forward_passes_betw","forward_passes_pagerank","forward_passes_transitivity","back_passes_closeness","back_passes_betw","back_passes_pagerank","back_passes_transitivity","long_passes_closeness","long_passes_betw","long_passes_pagerank","long_passes_transitivity","final_3rd_passes_closeness","final_3rd_passes_betw","final_3rd_passes_pagerank","final_3rd_passes_transitivity","progressive_passes_closeness","progressive_passes_betw","progressive_passes_pagerank","progressive_passes_transitivity"
"1",0.184615384615385,0.0153846153846154,0.0384615384615385,0.969230769230769,0.253846153846154,0.392307692307692,0.130769230769231,0.561538461538462,0.184615384615385,0.638461538461538,0.192307692307692,0.223076923076923,0.584615384615385,0.153846153846154,0.0769230769230769,0.123076923076923,0.376923076923077,0.261538461538462,0.569230769230769,0.207692307692308,0.815384615384615,0.207692307692308,0.923076923076923,0.484615384615385,0.684615384615385,0.307692307692308,0.861538461538462,0.384615384615385,0.0153846153846154,0.0384615384615385,0.0923076923076923,0.123076923076923,0.361538461538462,0.230769230769231,0.230769230769231,0.107692307692308,0.215384615384615,0.184615384615385,0.2,0.415384615384615,0.230769230769231,0.538461538461538,0.392307692307692,0.376923076923077,0.2,0.330769230769231,0.515384615384615,0.207692307692308,0.0230769230769231,0.0846153846153846,0.176923076923077,0.0692307692307692,0.146153846153846,0.0384615384615385,0.0846153846153846,0.384615384615385,0.292307692307692,0.0692307692307692,0.0923076923076923,0.0307692307692308,0.161538461538462,0.138461538461538,0.0461538461538462,0.123076923076923,0.0461538461538462,0.207692307692308,0.0461538461538461,0.430769230769231,0.0846153846153846,0.407692307692308,0.423076923076923,0.430769230769231,0.0615384615384615,0.161538461538462,0.415384615384615,0.346153846153846,0.0538461538461538,0.307692307692308,0.561538461538461,0.492307692307692,0.107692307692308,0.0692307692307692,0.676923076923077,0.492307692307692,0.0846153846153846,0.161538461538462,0.484615384615385,0.469230769230769,0.0307692307692308,0.130769230769231,0.423076923076923
"2",0.533333333333333,0.733333333333333,0.233333333333333,0.833333333333333,0.4,0.45,0.283333333333333,0.5,0.383333333333333,0.716666666666667,0.483333333333333,0.283333333333333,0.266666666666667,0.166666666666667,0.1,0.0833333333333333,0.0833333333333333,0.216666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0,0.35,0,0,0.0833333333333333,0,0,0,0,0,0,0,0.25,0.216666666666667,0.55,0.133333333333333,0.4,0.233333333333333,0.316666666666667,0.366666666666667,0.1,0.133333333333333,0.116666666666667,0.383333333333333,0.25,0.216666666666667,0.0333333333333333,0.0666666666666667,0.116666666666667,0.0833333333333333,0.1,0.116666666666667,0.15,0.2,0.15,0.716666666666667,0.3,0.85,0.216666666666667,0.716666666666667,0.366666666666667,0.5,0.4,0.833333333333333,0.35,0.416666666666667,0.45,0.8,0.25,0.5,0.466666666666667,0.816666666666667,0.166666666666667,0.483333333333333,0.5,0.766666666666667,0.35,0.65,0.55
"3",0.36,0.6,0.1,0.84,0.76,0.3,0.76,0.54,0.5,0.72,0.42,0.54,0.36,0.8,0,0,0.52,0.26,0.48,0.18,0.78,0.16,0.94,0.58,0.62,0.36,0.82,0.42,0,0,0.1,0.18,0.26,0.16,0.18,0.1,0.08,0.04,0.06,0.26,0.14,0.5,0.38,0.28,0.4,0.44,0.46,0.44,0.14,0.18,0.72,0.38,0.3,0.2,0.14,0.42,0.4,0.16,0.06,0.04,0.26,0.44,0.18,0.36,0.18,0.5,0.12,0.64,0.26,0.72,0.2,0.68,0.18,0.22,0.4,0.86,0.08,0.44,0.6,0.78,0.12,0.12,0.4,0.88,0.24,0.32,0.5,0.78,0.12,0.24,0.54
"4",0.3375,0.0625,0.0125,0.375,0.08125,0.11875,0.05,0.05625,0.09375,0.58125,0.275,0.00625,0,0.03125,0,0.025,0.4375,0.3,0.3875,0.23125,0.8375,0.1375,0.8625,0.31875,0.59375,0.30625,0.7875,0.30625,0.0125,0.03125,0.09375,0.15,0.30625,0.2875,0.35,0.16875,0.1625,0.225,0.18125,0.4375,0.28125,0.58125,0.49375,0.48125,0.2125,0.05625,0.34375,0.1125,0.06875,0.06875,0.03125,0.00625,0,0,0.16875,0.53125,0.1125,0.0125,0.0375,0.025,0.025,0.0875,0.025,0.075,0.025,0.08125,0.00625,0.51875,0.0875,0.6125,0.325,0.375,0.0125,0.25,0.8125,0.56875,0.05,0.125,0.5125,0.45625,0.025,0.14375,0.6625,0.38125,0.0125,0.2375,0.79375,0.3125,0,0.23125,0.7375
"5",0.321428571428571,0.978571428571429,0.4,0.785714285714286,0.278571428571429,0.0928571428571429,0.135714285714286,0.5,0.45,0.728571428571429,0.214285714285714,0.3,0.1,0.1,0,0.0571428571428571,0.507142857142857,0.335714285714286,0.557142857142857,0.235714285714286,0.735714285714286,0.228571428571429,0.892857142857143,0.392857142857143,0.685714285714286,0.321428571428571,0.807142857142857,0.407142857142857,0,0,0.1,0.207142857142857,0.307142857142857,0.292857142857143,0.35,0.135714285714286,0.0857142857142857,0.0785714285714286,0.0857142857142857,0.45,0.328571428571429,0.542857142857143,0.457142857142857,0.421428571428572,0.414285714285714,0.342857142857143,0.385714285714286,0.435714285714286,0.485714285714286,0.371428571428571,0.178571428571429,0.0571428571428571,0.0428571428571429,0.0285714285714286,0.0285714285714286,0.214285714285714,0.264285714285714,0.0357142857142857,0,0,0.157142857142857,0.0428571428571429,0.00714285714285714,0.0714285714285714,0.0142857142857143,0.421428571428571,0.0285714285714286,0.378571428571429,0.0714285714285714,0.342857142857143,0.428571428571429,0.314285714285714,0.0285714285714286,0.142857142857143,0.542857142857143,0.214285714285714,0.0642857142857143,0.228571428571429,0.628571428571428,0.264285714285714,0.05,0.0785714285714286,0.714285714285714,0.378571428571429,0.0357142857142857,0.121428571428571,0.635714285714286,0.35,0.0785714285714286,0.142857142857143,0.464285714285714
"6",0.513333333333333,0.813333333333333,0.166666666666667,0.78,0.233333333333333,0.24,0.18,0.43,0.296666666666667,0.68,0.49,0.123333333333333,0.37,0.1,0.0166666666666667,0.05,0.516666666666666,0.323333333333333,0.473333333333333,0.276666666666667,0.816666666666667,0.176666666666667,0.916666666666667,0.363333333333333,0.653333333333333,0.35,0.823333333333333,0.356666666666667,0.0333333333333333,0.0833333333333333,0.12,0.27,0.29,0.293333333333333,0.34,0.133333333333333,0.123333333333333,0.233333333333333,0.12,0.47,0.226666666666667,0.59,0.466666666666667,0.466666666666667,0.266666666666667,0.106666666666667,0.546666666666667,0.143333333333333,0.316666666666667,0.166666666666667,0.106666666666667,0.143333333333333,0.0566666666666667,0.0733333333333333,0.06,0.24,0.15,0.146666666666667,0.0166666666666667,0.0366666666666667,0.0566666666666667,0.06,0.06,0.0633333333333333,0.0733333333333333,0.16,0.0766666666666667,0.93,0.64,0.936666666666666,0.133333333333333,0.926666666666667,0.74,0.67,0.316666666666667,0.943333333333333,0.683333333333333,0.57,0.346666666666667,0.89,0.496666666666667,0.646666666666667,0.433333333333333,0.906666666666666,0.716666666666667,0.8,0.433333333333333,0.883333333333333,0.8,0.773333333333333,0.34
"7",0.336363636363636,0.872727272727273,0.545454545454545,0.9,0.418181818181818,0.263636363636364,0.290909090909091,0.436363636363636,0.7,0.581818181818182,0.227272727272727,0.518181818181818,0.409090909090909,0.254545454545455,0.0636363636363636,0.127272727272727,0.572727272727273,0.363636363636364,0.563636363636364,0.381818181818182,0.872727272727273,0.236363636363636,0.918181818181818,0.390909090909091,0.681818181818182,0.481818181818182,0.863636363636364,0.463636363636364,0.0181818181818182,0.0454545454545455,0.1,0.3,0.263636363636364,0.3,0.336363636363636,0.163636363636364,0.281818181818182,0.3,0.245454545454545,0.463636363636364,0.263636363636364,0.627272727272727,0.481818181818182,0.5,0.6,0.445454545454545,0.536363636363636,0.636363636363636,0.309090909090909,0.590909090909091,0.490909090909091,0.581818181818182,0.2,0.254545454545455,0.0818181818181818,0.345454545454545,0.6,0.527272727272727,0.0181818181818182,0.0363636363636364,0.290909090909091,0.263636363636364,0.254545454545455,0.254545454545455,0.281818181818182,0.7,0.336363636363636,0.7,0.245454545454546,0.727272727272727,0.145454545454545,0.690909090909091,0.227272727272727,0.3,0.227272727272727,0.672727272727273,0.127272727272727,0.509090909090909,0.481818181818182,0.809090909090909,0.390909090909091,0.272727272727273,0.390909090909091,0.836363636363636,0.336363636363636,0.327272727272727,0.245454545454545,0.790909090909091,0.427272727272727,0.481818181818182,0.254545454545455
"8",0.136,0.644,0.096,0.932,0.328,0.592,0.128,0.452,0.208,0.584,0.152,0.224,0.668,0.148,0.024,0.08,0.256,0.256,0.42,0.08,0.708,0.108,0.864,0.36,0.6,0.188,0.764,0.236,0.012,0.04,0.084,0.16,0.352,0.168,0.184,0.056,0.132,0.152,0.124,0.344,0.404,0.504,0.356,0.272,0.228,0.588,0.428,0.256,0.208,0.152,0.208,0.188,0.076,0.072,0.112,0.376,0.46,0.296,0.056,0.108,0.288,0.264,0.184,0.228,0.196,0.264,0.24,0.868,0.292,0.664,0.236,0.876,0.192,0.276,0.308,0.688,0.076,0.56,0.676,0.756,0.136,0.092,0.5,0.876,0.192,0.228,0.424,0.844,0.184,0.248,0.324
"9",0.295,0.86,0.22,0.93,0.32,0.235,0.225,0.46,0.365,0.65,0.275,0.24,0.455,0.17,0.045,0.095,0.585,0.375,0.555,0.435,0.9,0.235,0.92,0.3,0.72,0.545,0.875,0.47,0.075,0.225,0.105,0.32,0.295,0.415,0.49,0.225,0.15,0.26,0.145,0.535,0.22,0.635,0.535,0.605,0.24,0.33,0.485,0.255,0.41,0.235,0.295,0.14,0.155,0.07,0.07,0.295,0.38,0.14,0.055,0.045,0.175,0.175,0.085,0.16,0.085,0.29,0.075,0.56,0.07,0.585,0.305,0.53,0.065,0.215,0.545,0.705,0.045,0.265,0.665,0.79,0.025,0.125,0.69,0.79,0.06,0.245,0.59,0.64,0.05,0.2,0.6
"10",0.28,0.942222222222222,0.24,0.911111111111111,0.317777777777778,0.224444444444444,0.224444444444444,0.46,0.382222222222222,0.604444444444445,0.235555555555556,0.273333333333333,0.306666666666667,0.224444444444444,0.0355555555555556,0.0644444444444444,0.468888888888889,0.304444444444445,0.495555555555556,0.226666666666667,0.768888888888889,0.144444444444444,0.915555555555555,0.448888888888889,0.633333333333334,0.315555555555556,0.804444444444444,0.348888888888889,0.0266666666666667,0.0555555555555556,0.113333333333333,0.257777777777778,0.344444444444444,0.242222222222222,0.282222222222222,0.0955555555555556,0.164444444444444,0.211111111111111,0.146666666666667,0.357777777777778,0.186666666666667,0.537777777777778,0.48,0.391111111111111,0.337777777777778,0.315555555555556,0.533333333333333,0.371111111111111,0.331111111111111,0.288888888888889,0.311111111111111,0.248888888888889,0.133333333333333,0.115555555555556,0.0844444444444445,0.326666666666667,0.366666666666667,0.202222222222222,0.0266666666666667,0.0355555555555556,0.16,0.142222222222222,0.102222222222222,0.133333333333333,0.113333333333333,0.375555555555556,0.122222222222222,0.768888888888889,0.195555555555555,0.728888888888889,0.224444444444444,0.737777777777778,0.262222222222222,0.344444444444444,0.291111111111111,0.737777777777778,0.266666666666666,0.602222222222222,0.528888888888889,0.74,0.217777777777778,0.202222222222222,0.551111111111111,0.793333333333334,0.24,0.275555555555556,0.44,0.775555555555556,0.266666666666667,0.366666666666667,0.291111111111111
